課程類別,次數,時數,人次,學習時數
"政策能力訓練(依公務人員訓練進修相關法規訓練)","9","30","252","804"
"政策能力訓練(政策宣導訓練)","19","60","1121","3184"
"機關業務知能訓練(普通行政)","41","125","1126","3387"
"機關業務知能訓練(文教新聞行政)","1","7","17","119"
"機關業務知能訓練(財務行政)","7","96","380","1784"
"機關業務知能訓練(土木工程)","1","6","28","168"
"機關業務知能訓練(資訊安全與管理)","23","709","600","2954"
"領導力發展(績效管理)","2","6","81","243"
"領導力發展(人力資源管理)","1","3","37","111"
"領導力發展(願景型塑)","4","13","323","1154"
"自我成長及其他(壓力管理)","2","6","95","285"
"自我成長及其他(運動)","1","22","6","132"
"自我成長及其他(心理)","1","99","19","1395"