¶µ¥Ø,Total,National,Municipal,Private
111 Total,44,0,32,12
111 7grade total,19,0,13,6
111 7grade boy,8,0,4,4
111 7grade girl,11,0,9,2
111 8grade tootal,11,0,8,3
111 8grade boy,8,0,6,2
111 8grade girl,3,0,2,1
111 9grade total,14,0,11,3
111 9grade boy,5,0,3,2
111 9grade girl,9,0,8,1
